Heap Info: length: 2228184 flags: 5
HHeap Stats: nUsedNodes:10006 nFreeNodes:-1531 nCalls:(M:11355173 R:1485618 F:11345167) nBytes:-2407776
Timing:(M:14273776 R:1312643 F:369350)
ptr  len  isfree
0x0xc244e0 496 0
0x0xc246d0 496 0
0x0xc248c0 16 0
0x0xc248d0 496 0
0x0xc24ac0 16 0
0x0xc24ad0 496 0
0x0xc24cc0 16 0
0x0xc24cd0 16 0
0x0xc24ce0 24 0
0x0xc24cf8 496 0
0x0xc24ee8 536 0
0x0xc25100 16 0
0x0xc25110 16 0
0x0xc25120 496 0
0x0xc25310 16 0
0x0xc25320 496 0
0x0xc25510 496 0
0x0xc25700 496 0
0x0xc258f0 16 0
0x0xc25900 16 0
0x0xc25910 496 0
0x0xc25b00 16 0
0x0xc25b10 496 0
0x0xc25d00 32 0
0x0xc25d20 16 0
0x0xc25d30 488 0
0x0xc25f18 16 0
0x0xc25f28 496 0
0x0xc26118 32 0
0x0xc26138 16 0
0x0xc26148 496 0
0x0xc26338 32 0
0x0xc26358 64 1
0x0xc26398 24 0
0x0xc263b0 48 0
0x0xc263e0 48 0
0x0xc26410 64 1
0x0xc26450 352 0
0x0xc265b0 1296 1
0x0xc26ac0 32 0
0x0xc26ae0 32 0
0x0xc26b00 352 1
0x0xc26c60 56 0
0x0xc26c98 648 1
0x0xc26f20 48 0
0x0xc26f50 48 0
0x0xc26f80 32 0
0x0xc26fa0 120 1
0x0xc27018 32 0
0x0xc27038 24 0
0x0xc27050 48 0
0x0xc27080 40 0
0x0xc270a8 24 0
0x0xc270c0 24 0
0x0xc270d8 24 0
0x0xc270f0 48 0
0x0xc27120 56 0
0x0xc27158 24 0
0x0xc27170 56 0
0x0xc271a8 24 0
0x0xc271c0 72 0
0x0xc27208 24 0
0x0xc27220 16 1
0x0xc27230 56 0
0x0xc27268 64 0
0x0xc272a8 64 0
0x0xc272e8 24 0
0x0xc27300 56 0
0x0xc27338 24 0
0x0xc27350 56 0
0x0xc27388 24 0
0x0xc273a0 56 0
0x0xc273d8 24 0
0x0xc273f0 72 0
0x0xc27438 24 0
0x0xc27450 56 0
0x0xc27488 24 0
0x0xc274a0 48 0
0x0xc274d0 24 0
0x0xc274e8 48 0
0x0xc27518 24 0
0x0xc27530 56 0
0x0xc27568 24 0
0x0xc27580 56 0
0x0xc275b8 24 0
0x0xc275d0 48 0
0x0xc27600 24 0
0x0xc27618 48 0
0x0xc27648 24 0
0x0xc27660 56 0
0x0xc27698 24 0
0x0xc276b0 56 0
0x0xc276e8 24 0
0x0xc27700 32 0
0x0xc27720 48 0
0x0xc27750 24 0
0x0xc27768 56 0
0x0xc277a0 24 0
0x0xc277b8 56 0
0x0xc277f0 24 0
0x0xc27808 56 0
0x0xc27840 24 0
0x0xc27858 48 0
0x0xc27888 24 0
0x0xc278a0 48 0
0x0xc278d0 24 0
0x0xc278e8 56 0
0x0xc27920 24 0
0x0xc27938 48 0
0x0xc27968 24 0
0x0xc27980 48 0
0x0xc279b0 24 0
0x0xc279c8 48 0
0x0xc279f8 56 0
0x0xc27a30 48 0
0x0xc27a60 40 0
0x0xc27a88 16 1
0x0xc27a98 40 0
0x0xc27ac0 136 0
0x0xc27b48 40 0
0x0xc27b70 96 0
0x0xc27bd0 48 0
0x0xc27c00 48 0
0x0xc27c30 56 0
0x0xc27c68 56 0
0x0xc27ca0 56 0
0x0xc27cd8 48 0
0x0xc27d08 48 0
0x0xc27d38 56 0
0x0xc27d70 56 0
